name,address,lon,lat
Feile,"131 W 33rd St, Manhattan, NY",-73.9896655,40.7498851
Whitmans Restaurant,"500 W 30th St, Manhattan, NY",-74.0016497,40.75211
The Celtic Rail NYC,"137 W 33rd St, Manhattan, NY",-73.9899172,40.7500832
Maggie Reilly's,"340 9th Ave, Manhattan, NY",-73.9981345,40.7504385
The Kunjip Restaurant,"32 W 32nd St, Manhattan, NY",-73.9872574,40.7476187
Antoya Korean BBQ (formerly Samwon Garden),"37 32nd St, Manhattan, NY",-73.9872039,40.7481097
Lady Mara,"518 W 27th St, Manhattan, NY",-74.0034186,40.7504133
The Triple Crown,"330 7th Ave, Manhattan, NY",-73.9933782,40.7477463
Lombardi's,"290 8th Ave, Manhattan, NY",-73.9974449,40.7462466
Tramonti Fifth Ave,"2 W 28th St, Manhattan, NY",-73.9877156,40.7447504
Food Gallery 32,"11 W 32nd St Manhattan, NY",-73.9861939,40.7477348
The Harold,"1271 Broadway, Manhattan, NY",-73.988376,40.748214
Friedmans Restaurant,"132 W 31St St, Manhattan, NY",-73.990714,40.748267
Izakaya MEW,"53 W 35th St, Manhattan, NY",-73.9863204,40.7501853
miss Korea BBQ,"10 W 32nd St, Manhattan, NY",-73.9864768,40.7473149
Porchlight,"271 11th Ave, Manhattan, NY",-74.0051493,40.7519006
Monarch Rooftop,"71 W 35th St, Manhattan, NY",-73.9868149,40.7503845
Porteno,"299 10th Ave, Manhattan, NY",-74.0024502,40.7504711
The Chelsea Bell,"260 W 26th St, Manhattan, NY",-73.9966838,40.7468656
Barn Joo Nomad,"816 6th Ave, Manhattan, NY",-73.9902233,40.7460711
Maggie Reilly's,"340 9th Ave, Manhattan, NY",-73.9981345,40.7504385
KOKU RAMEN,"2 W 32nd St, Manhattan, NY",-73.9861784,40.7472532
Osamil,"5 W 31St St, Manhattan, NY",-73.9864309,40.746961
The Liberty NYC,"29 W 35th St, Manhattan, NY",-73.9855335,40.7499441
Hanbat Restaurant,"53 W 35th St, Manhattan, NY",-73.9863204,40.7501853
Patent Coffee,"49 W 27th St, Manhattan, NY",-73.9902255,40.7453144
OCabanon,"245 W 29th St, Manhattan, NY",-73.9945268,40.7488206
Jun-Men Ramen Bar,"249 9th Ave, Manhattan, NY",-74.000481,40.7481599
Gallow Green,"542 W 27th St, Manhattan, NY",-74.004176,40.750733
Five Senses,"9 W 32nd St, Manhattan, NY",-73.9860561,40.7477152
Kahlo,"525 W 29th St, Manhattan, NY",-74.0026804,40.7521599
