"name","address","lon","lat"
"Chama Mama","149 W 14th st, Manhattan, NY",-73.9988653,40.7384534
"Tao","369 W16th St, Manhattan, NY",-74.0038464,40.7425376
"The Water Hazard","59 Chelsea Piers, Manhattan, NY",-74.0087216,40.7456816
"Shaffer's","151 8TH AVE, Manhattan, NY",-74.0011048,40.7420634
"Beer Run","203 W 19th STREET, Manhattan, NY",-73.9977429,40.7419271
"Empire Diner","210 10th AVENUE, Manhattan, NY",-74.0043899,40.7471225
"The Copper Still","206 7th Ave, Manhattan, NY",-73.9964013,40.7433946
"Lena","1 W 8th street, Manhattan, NY",-73.9979682,40.7328475
"La Bergamote","177 9th Ave, Manhattan, NY",-74.0027927,40.7450569
"Bar B","84 7th Avenue, Manhattan, NY",-73.9992899,40.7395657
"Basta Pasta","37 W 17th St, Manhattan, NY",-73.9940906,40.7388959
"Lasagna Restaurant","196 8th Ave, Manhattan, NY",-73.9996989,40.7432474
"Bocca di Bacco","169 9th Avenue, Manhattan, NY",-74.0030186,40.7446144
"Malibu Diner","163 W 23rd Street, Manhattan, NY",-73.9949218,40.7440762
"Trailer Park Lounge","271 W 23rd STREET, Manhattan, NY",-73.9978245,40.7453275
"Margaux","5 W 8th St, Manhattan, NY",-73.9968064,40.7326462
"Fiddlesticks Pub and Grill","56 Greenwich Avenue, Manhattan, NY",-74.0004721,40.7359015
"Very Fresh Noodles","409 W 15th St, Manhattan, NY",-74.0056454,40.7420723
"Hollywood Diner","574 6th ave, Manhattan, NY",-73.9955791,40.738715
"The Mermaid Inn","227 10th Avenue, Manhattan, NY",-74.004196,40.7481297
"Pasta By Hudson","180 7th AVENUE, Manhattan, NY",-73.9969892,40.7427486
"Boqueria","53 W 19th Street, Manhattan, NY",-73.9937306,40.740279
"Niche Niche","43 Macdougal Street, Manhattan, NY",-74.0025839,40.7277451
"Old Homestead Steakhouse","56 Ninth Ave, Manhattan, NY",-74.004699,40.7411794
"A Salt and Battery LLC","112 Greenwich Ave, Manhattan, NY",-74.0019916,40.7384368
"8th Street Winecellar","28 W 8th St, Manhattan, NY",-73.9979098,40.7327221
"Le Zie 2000","172 7th Avenue, Manhattan, NY",-73.997081,40.74253
"Asuka Sushi","300 W 23rd ST, Manhattan, NY",-73.9989481,40.7453023
"The 18th Room","134 9th Ave, Manhattan, NY",-74.0031156,40.7436115
"Ootoya Chelsea","8 W 18th Street, Manhattan, NY",-73.9927981,40.7388278
"Jue Lan Club","49 W 20th Street, Manhattan, NY",-73.9936959,40.7409445
"Baodega","7 W 20th St, Manhattan, NY",-73.9917492,40.7401851
"District Local","72 7th Avenue, Manhattan, NY",-73.9995455,40.7391477
"Le Grainne Cafe","183 9th Ave, Manhattan, NY",-74.0024479,40.7454138
"Momoya Chelsea","185 7TH AVE, Manhattan, NY",-73.9965061,40.7426186
"Analogue","19 W 8th Street, Manhattan, NY",-73.9974492,40.7328532
"Glur Thai","144 W 19th Street , Manhattan, NY",-73.9967305,40.741104
"Neighborhood Goods","75 9th AVENUE, Manhattan, NY",-74.0059581,40.7424509
"Sushi Seki","208 W 23rd STREET, Manhattan, NY",-73.9964368,40.74406
"Daisy's Cocktail Garden","180 10th Avenue, Manhattan, NY",-74.004535,40.7459937
"Bathtub Gin","132 9th Ave, Manhattan, NY",-74.0032074,40.7435859
"Kyma","15 W18th ST, Manhattan, NY",-73.9928051,40.7391382
"Salinas","136 9th AVENUE, Manhattan, NY",-74.0030697,40.7436822
"USHIWAKAMARU","362 W 23RD STREET, Manhattan, NY",-74.0010259,40.746139
"Rasa","25 W 8th Street, Manhattan, NY",-73.9976651,40.732936
"Da Andrea","35 W 13th St, Manhattan, NY",-73.9958123,40.7362477
"Chelsea Square Restaurant","368 W 23rd Street, Manhattan, NY",-74.0012555,40.7462101
"Tia Pol","205 10th Avenue, Manhattan, NY",-74.004801,40.7473
"Westside Tavern","360 W 23rd St, Manhattan, NY",-74.0009341,40.7461259
"North Square Restaurant","103 Waverly Place, Manhattan, NY",-73.998692,40.7325
"Bareburger","184 8th Avenue, Manhattan, NY",-73.9998367,40.7429581
"Westville","246 W 18th St, Manhattan, NY",-74.0000778,40.7417647
"AMELIE","22 W 8TH STREET, Manhattan, NY",-73.9976785,40.7326534
"Worthwild","156 9TH AVE, Manhattan, NY",-74.0026028,40.744242
"Creamline","75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
"Barcade","148 W 24th Street, Manhattan, NY",-73.9945086,40.7442492
"Le Baratin","26 Greenwich Ave, Manhattan, NY",-73.9999671,40.7349805
"Cafeteria","119 7TH AVENUE, Manhattan, NY",-73.9980333,40.7404954
"Shiraz Kitchen","111 W 17th STREET, Manhattan, NY",-73.9959804,40.7397484
"Juban","207 10th Avenue, Manhattan, NY",-74.004704,40.7473276
"Starbucks Reserve Roastery","61 9th Avenue, Manhattan, NY",-74.0056597,40.7416944
"SOTTO 13","140 W 13th STREET, Manhattan, NY",-73.9991866,40.737225
"Pad Thai Noodle Lounge","114 8th Avenue, Manhattan, NY",-74.0014362,40.7408255
"Don Giovanni","214 10th Ave, Manhattan, NY",-74.0041907,40.7473153
"Boqueria","53 W 19th STREET, Manhattan, NY",-73.9937306,40.740279
"Brine","106 8th Ave, Manhattan, NY",-74.0016657,40.7405878
"Dim Sum Chelsea","236 8th ave, Manhattan, NY",-73.998629,40.7446121
"Salam Restaurant","104 W 13th st, Manhattan, NY",-73.9979586,40.7367323
"Tequila Chitos Mexican Bar & Grill","358 W 23rd Street, Manhattan, NY",-74.0008882,40.7460422
"Grace's","252 W 14th St, Manhattan, NY",-74.0022281,40.7394032
"Greenwich Treehouse","46 Greenwich Avenue, Manhattan, NY",-74.000277,40.7356133
"Los Mariscos","409 W 15th Street, Manhattan, NY",-74.0056454,40.7420723
"Grand Sichuan Eastern","172 8th ave, Manhattan, NY",-74.0002032,40.7425407
"Ootoya Japanese Restaurant","8 W 18th STREET, Manhattan, NY",-73.9927981,40.7388278
"Da Umberto","107 W 17th St, Manhattan, NY",-73.995827,40.739672
"Cookshop","156 TENTH AVENUE, Manhattan, NY",-74.0054833,40.745519
"La Contenta Oeste","78 W 11th Street, Manhattan, NY",-73.9980504,40.7351431
"Artichoke Basille's Pizza","457 W 17th Street, Manhattan, NY",-74.006341,40.7439805
"Coppelia","207 W 14th street, Manhattan, NY",-73.9999532,40.7389823
"Qanoon","180 9TH AVE, Manhattan, NY",-74.0019905,40.7452323
"Dallas BBQ","261 8th Avenue, Manhattan, NY",-73.9985503,40.7455938
"Mojo Omakase","177 9th Avenue, Manhattan, NY",-74.0027927,40.7450569
"Jack's Wife Freda","116 8TH AVE, Manhattan, NY",-73.9550821,40.8045291
"Coopers Craft and Kitchen","169 8TH AVENUE, Manhattan, NY",-74.0007595,40.7427021
"Catch Steak","88 Ninth Avenue, Manhattan, NY",-74.0040829,40.7423522
"Elmo Restaurant","156 Seventh Avenue, Manhattan, NY",-73.9975642,40.7419989
"South of the Clouds","16 W 8th STREET, Manhattan, NY",-73.9974629,40.7325844
"Wicked Jane","15 W 8th St, Manhattan, NY",-73.9972942,40.7327719
"Maki Kosaka","55 W 19th Street, Manhattan, NY",-73.9938224,40.7402921
"Oak Tuscan Truffle Lounge","28 GREENWICH AVE, Manhattan, NY",-73.9998753,40.7350833
"City Winery New York","25 11th AVENUE, Manhattan, NY",-74.0090631,40.743058
"Zia Maria","318 W 23RD ST, Manhattan, NY",-73.9993382,40.7454027
"E.A.K. Ramen","469 Avenue of the Americas, Manhattan, NY",-73.9983201,40.7356806
"Tacos Guey","37 W 19th STREET, Manhattan, NY",-73.9931796,40.7400465
"Peter McManus Cafe","152 7th Avenue, Manhattan, NY",-73.997653,40.741859
"Cafe-Flor","218 8th Avenue, Manhattan, NY",-73.9991091,40.7440349
"Champignon","200 7th Ave, Manhattan, NY",-73.9966387,40.7432528
"AYADA THAI","75 9th AVENUE, Manhattan, NY",-74.0059581,40.7424509
"Arts and Crafts Beer Parlor","26 W 8th Street, Manhattan, NY",-73.997807,40.7327311
"Calle Dao Chelsea","461 W 23rd Street, Manhattan, NY",-74.0035248,40.7476544
"CHARM'S","200 8TH Avenue, Manhattan, NY",-73.9995027,40.7434814
"La Devozione","75 9th AVENUE, Manhattan, NY",-74.0059581,40.7424509
"Shu Han Ju","465 6th ave, Manhattan, NY",-73.9984505,40.7356007
"Lamano Wine Bar","265 W 20TH ST, Manhattan, NY",-73.9995142,40.7434155
"Elephant & Castle","68 Greenwich Avenue, Manhattan, NY",-74.0006902,40.7362317
"Flex Mussels","154 W 13th St, Manhattan, NY",-73.9997031,40.7373851
"BoCaphe","104 8th AVENUE, Manhattan, NY",-74.0016198,40.740504
"Shaffer's","151 8TH AVE, Manhattan, NY",-74.0011048,40.7420634
"Le Baratin","26 GREENWICH AVENUE, Manhattan, NY",-73.9999671,40.7349805
"Counter and Bodega","216 7th AVENUE, Manhattan, NY",-73.9962761,40.7438248
"Mexicue","160 Eighth Avenue, Manhattan, NY",-74.0004666,40.7420291
"Thai Sliders","150 8th Ave, Manhattan, NY",-74.0007476,40.7418088
"The Happiest Hour","121 W 10th Street, Manhattan, NY",-73.9997156,40.7348213
"CHELSEA HOTEL","226 W 23rd STREET, Manhattan, NY",-73.9969304,40.7445548
"Marian’s","24 GREENWICH AVENUE, Manhattan, NY",-73.9998638,40.7349369
"Burger and Lobster","39 W 19th STREET, Manhattan, NY",-73.9933563,40.7400574
"Rosemary's","18 GREENWICH AVENUE, Manhattan, NY",-73.9996717,40.7348852
"Scampi","30 W 18th STREET, Manhattan, NY",-73.9934938,40.7390428
"Pastai","186 9TH AVE, Manhattan, NY",-74.0018528,40.7454058
"Umami Sushi","50 GREENWICH AVENUE, Manhattan, NY",-74.0003132,40.7357333
"Portale Restaurant","126 W 18th St, Manhattan, NY",-73.9962684,40.7402084
"La Nacional","239 W 14th STREET, Manhattan, NY",-74.0011583,40.7394903
"Claudette","24 Fifth Avenue, Manhattan, NY",-73.9962714,40.7332403
"The Canuck","202 9th AVENUE, Manhattan, NY",-74.0014391,40.7459659
"The Crooked Knife","232 W 14th Street, Manhattan, NY",-74.0014362,40.7390496
"Fonda","189 9th avenue, Manhattan, NY",-74.0023376,40.7455599
"The Grey Dog","242 W 16th St, Manhattan, NY",-74.0007266,40.740503
"Temerario","198 8TH AVE, Manhattan, NY",-73.9995674,40.7435091
"ZiZi","182 8TH AVE, Manhattan, NY",-73.9999607,40.7429063
"Society Cafe","52 W 13th St, Manhattan, NY",-73.9966616,40.7361334
"Ayada Thai","75 9TH AVENUE, Manhattan, NY",-74.0059581,40.7424509
"Oramen","579 6th Avenue , Manhattan, NY",-73.9959807,40.7390148
"Le Zie 2000","172 7th Avenue, Manhattan, NY",-73.997081,40.74253
"Vinyl Steakhouse","35 W 19th STREET, Manhattan, NY",-73.9930878,40.7400335
"The Hawthorn","505 W 23rd St, Manhattan, NY",-74.0043708,40.7479939
"HALL","17 W 20th Street, Manhattan, NY",-73.9921624,40.7403982
"Gym Sportsbar","167 8th AVENUE, Manhattan, NY",-74.0007861,40.7426413
"Yakiniku Futago","37 W 17th St, Manhattan, NY",-73.9940906,40.7388959
"Umami Sushi","50 GREENWICH AVENUE, Manhattan, NY",-74.0003132,40.7357333
"Loring Place","21 W 8th Street, Manhattan, NY",-73.9974616,40.732976
"Auntie Guan's Kitchen 108","108 W 14th Street, Manhattan, NY",-73.9975339,40.7374539
"The Lobster Place","448 W 16th Street, Manhattan, NY",-74.0065296,40.7428983
"Motel Morris","132 7th Avenue, Manhattan, NY",-73.9981634,40.7410187
"Le Singe Vert","160 7th avenue , Manhattan, NY",-73.9998285,40.7387705
"South of the Cloud","16 W 8th Street, Manhattan, NY",-73.9974629,40.7325844
"Buddakan","75 9th Avenue, Manhattan, NY",-74.0059581,40.7424509
"Pepe Giallo","195 10th Ave, Manhattan, NY",-74.0050222,40.7469042
"Counter & Bodega","266 W 23rd Street, Manhattan, NY",-73.9982347,40.7449689
"North Square","103 Waverly Place, Manhattan, NY",-73.998692,40.7325
"Flannerys Bar","205 W 14th STREET, Manhattan, NY",-73.9998818,40.7389356
"Merchants NY","190 7th Avenue, Manhattan, NY",-73.996618,40.743061
"Jungle Bird","174 8TH AVENUE, Manhattan, NY",-74.0001688,40.7426045
"Tea & Sympathy","108 Greenwich Avenue, Manhattan, NY",-74.0019068,40.7383152
"Beer Run","203 W 19th St, Manhattan, NY",-73.9977429,40.7419271
"Starbucks Reserve","1 7th Avenue, Manhattan, NY",-74.0005041,40.7364913
"Osteria 57","57 W 10th St, Manhattan, NY",-73.9978553,40.7346811
"SUSHI SEKI","208 W 23rd St, Manhattan, NY",-73.9964368,40.74406
"Kubeh","464 Avenue of the Americas, Manhattan, NY",-73.9980051,40.7354689
"Bodega Negra","355 W 16th STREET, Manhattan, NY",-74.0034791,40.7423311
"Umami Sushi","50 GREENWICH AVENUE, Manhattan, NY",-74.0003132,40.7357333
"LOULOU","176 8TH AVE, Manhattan, NY",-74.0000524,40.74262
