"name","address","lon","lat"
"Pastis","52 Gansevoort Street, Manhattan, NY",-74.007014,40.7392418
"Sushi Teru","615 1/2 Hudson Street, Manhattan, NY",-74.0059352,40.7379114
"Agave","140 7th AVENUE SOUTH, Manhattan, NY",-74.0024061,40.734755
"Little Owl","90 Bedford Street, Manhattan, NY",-74.0053204,40.7323474
"Dos Caminos & Troy Liquor Bar","675 Hudson Street, Manhattan, NY",-74.0054362,40.7404411
"Hao Noodle","343 West 14th Street, Manhattan, NY",-74.0043317,40.7407413
"The Stonewall Inn","53 Christopher St, Manhattan, NY",-74.0021707,40.7338644
"The Four-Faced Liar","165 West 4th St, Manhattan, NY",-74.0012985,40.7322349
"Petite Boucherie","14 Christopher Street, Manhattan, NY",-74.0004287,40.7338319
"Cowgirl","519 HUDSON ST, Manhattan, NY",-74.0058279,40.7356258
"B'artusi","520 HUDSON STREET, Manhattan, NY",-74.0059699,40.7338776
"Via Porta","522 HUDSON STREET, Manhattan, NY",-74.0060337,40.7339688
"Tue Thai Food","3 GREENWICH AVE, Manhattan, NY",-73.9998553,40.7338521
"Tacombi","255 Bleecker St, Manhattan, NY",-74.0027561,40.7310998
"Lelabar","422 Hudson St, Manhattan, NY",-74.0065664,40.730385
"The Village Tavern","46 Bedford Street, Manhattan, NY",-74.0041563,40.730584
"White Horse Tavern","567 HUDSON STREET, Manhattan, NY",-74.0061649,40.735719
"Jekyll and Hyde","91 seventh avenue south, Manhattan, NY",-74.0029512,40.7327781
"Sushi on Jones","210 West 10th Street, Manhattan, NY",-74.0041448,40.7339126
"Hao Noodle","343 WEST 14th STREET, Manhattan, NY",-74.0043317,40.7407413
"Oppa Bistro","162 West 4th St, Manhattan, NY",-74.0013903,40.7318232
"Little Branch","20 7th Ave South, Manhattan, NY",-74.0050449,40.730118
"The Otheroom","143 Perry Street, Manhattan, NY",-74.0080519,40.7349742
"The Waverly Inn","16 Bank Street, Manhattan, NY",-74.0022657,40.7369054
"The Elk","128 Charles Street, Manhattan, NY",-74.0074103,40.7341502
"Henrietta Hudson","438 HUDSON STREET, Manhattan, NY",-74.0064631,40.731133
"St Tropez Wine Bar","304 West 4th Street, Manhattan, NY",-74.0039038,40.737054
"I Love Panzerotti","220 Varick St, Manhattan, NY",-74.0050212,40.7290116
"Slaughtered Lamb Pub","182 West 4th Street, Manhattan, NY",-74.0019252,40.7323493
"Left Bank","117 Perry St, Manhattan, NY",-74.0067386,40.7351876
"While We Were Young","183 W 10th St, Manhattan, NY",-74.0028479,40.7343755
"Dante West Village","551 Hudson Street, Manhattan, NY",-74.0063025,40.7352609
"Casa restaurant","72 Bedford St, Manhattan, NY",-74.0047416,40.7314875
"Buvette","42 Grove Street, Manhattan, NY",-74.0043284,40.7326259
"Suprema Provisions","305 Bleecker Street, Manhattan, NY",-74.0036439,40.7326906
"Shake Shack","225 Varick Street, Manhattan, NY",-74.0054439,40.7292205
"Ofrenda","113 7TH AVE SOUTH, Manhattan, NY",-74.002372,40.7339272
"Boucherie West Village","99 7th Avenue S, Manhattan, NY",-74.0028776,40.7330828
"SUPREMA","305 BLEECKER STREET, Manhattan, NY",-74.0036439,40.7326906
"Anfora","34 8th Avenue, Manhattan, NY",-74.0041054,40.7379287
"En Japanese Brasserie","435 Hudson St, Manhattan, NY",-74.0071658,40.730631
"Malaparte","753 Washington Street, Manhattan, NY",-74.0080946,40.7368806
"Llama San","359 6TH AVENUE, Manhattan, NY",-74.0008279,40.7322744
"Due West","189 West 10th street, Manhattan, NY",-74.0032395,40.7343315
"Entwine","765 Washington Street, Manhattan, NY",-74.0079666,40.7373982
"Mighty Quinn's Barbeque","75 Greenwich Ave, Manhattan, NY",-74.0014332,40.7367065
"Quality Eats","19 Greenwich Avenue, Manhattan, NY",-74.0000553,40.7345017
"The Butcher's Daughter","581 Hudson Street, Manhattan, NY",-74.006155,40.736362
"Pizzetteria Brunetti","626 HUDSON STREET, Manhattan, NY",-74.0053786,40.7382727
"Leitao","547 Hudson St, Manhattan, NY",-74.0063658,40.7349372
"Kettle of Fish","59 CHRISTOPHER STREET, Manhattan, NY",-74.0023888,40.7338085
"Jack's Wife Freda","50 CARMINE ST, Manhattan, NY",-74.0035021,40.7298059
"Baby Brasa","173 7th ave south, Manhattan, NY",-74.0012344,40.7359703
"Joseph Leonard","170 Waverly Place, Manhattan, NY",-74.0013486,40.7337356
"The Garret","296 Bleecker St, Manhattan, NY",-74.0038162,40.7323381
"Menkoi Sato","7 Cornelia street , Manhattan, NY",-74.0016198,40.7317786
"The Butcher's Daughter","581 HUDSON STREET, Manhattan, NY",-74.006155,40.736362
"Fairfax","234 West 4th St, Manhattan, NY",-74.0032165,40.7343351
"The Duplex","61 CHRISTOPHER STREET, Manhattan, NY",-74.0024825,40.7337976
